iter
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18	4017	12899
19
20
21
22
23
24
25
26	5812	11410
27
28
29
30
31
32
33
34
35
36	8479	9854
37
38
39
40
41
42
43
44
45
46
47	11361	7574
48
49
50
51
52
53
54
55
56
57
58	14256	5074
59
60
61
62
63
64
65
66	16608	3222
67
68
69
70
71
72	18897	1812
73
74
75
76
77
78
79	21115	0
