iter	Logloss
0	0.6576550823
1	0.6238241519
2	0.5935429451
3	0.5637176523
4	0.5376662266
5	0.5134212179
6	0.4900607325
7	0.4675203332
8	0.4483017418
9	0.4294489378
10	0.4136136133
11	0.3986059518
12	0.3850997156
13	0.3714582132
14	0.3589805348
15	0.3486184167
16	0.3391089651
17	0.3303332969
18	0.3215255016
19	0.3126337609
20	0.3051590458
21	0.2981320844
22	0.2911168477
23	0.2851732531
24	0.278667081
25	0.2725761775
26	0.2669922044
27	0.2617900329
28	0.2564232632
29	0.2520317751
30	0.2469698994
31	0.242594595
32	0.2382531074
33	0.2340805189
34	0.2302607697
35	0.2268277456
36	0.223355501
37	0.2201039367
38	0.2170525301
39	0.2144779402
40	0.2116765906
41	0.2094072346
42	0.2073202492
43	0.2053327168
44	0.203354162
45	0.2017158738
46	0.2001800109
47	0.1986953966
48	0.196990429
49	0.195323928
50	0.1938550647
51	0.1926366199
52	0.191334967
53	0.1901173121
54	0.1890830415
55	0.1881664857
56	0.1872105895
57	0.1861401855
58	0.1852305716
59	0.1845281094
60	0.183867741
61	0.1831238487
62	0.182504147
63	0.1817980424
64	0.1811192106
65	0.1805123791
66	0.1800121769
67	0.1795213483
68	0.1790396002
69	0.1784769218
70	0.1779129681
71	0.1773252677
72	0.1768012466
73	0.1763148398
74	0.1759475207
75	0.1755166051
76	0.175070638
77	0.1747320858
78	0.1742077977
79	0.1737289257
80	0.1733404561
81	0.1730279773
82	0.1726904921
83	0.1723011214
84	0.1717781439
85	0.1713865497
86	0.1709701557
87	0.1707331758
88	0.1703541037
89	0.1699403145
90	0.1695898224
91	0.1693448608
92	0.1690677255
93	0.1687950696
94	0.1685008417
95	0.1682265072
96	0.1679952394
97	0.1676349143
98	0.1675624417
99	0.1673133113
100	0.1670421513
101	0.1667779726
102	0.166546529
103	0.1662984401
104	0.1660795152
105	0.1658316018
106	0.1655917565
107	0.1654083238
108	0.1651479985
109	0.1649708445
110	0.1648726006
111	0.1648230435
112	0.164619088
113	0.164399642
114	0.1642455102
115	0.1641008186
116	0.1639731423
117	0.1639028675
118	0.163771908
119	0.1636084544
120	0.1635391689
121	0.1634058604
122	0.1632750567
123	0.1631446499
124	0.1630181917
125	0.1628485119
126	0.1627270207
127	0.1625730778
128	0.1625322891
129	0.1624000441
130	0.1622952464
131	0.1621836014
132	0.1620485369
133	0.1619444876
134	0.1618219328
135	0.1616905568
136	0.1615867327
137	0.1614386133
138	0.1613204901
139	0.1612689481
140	0.1611518799
141	0.1609555614
142	0.1608793076
143	0.160837642
144	0.1606504785
145	0.1605317458
146	0.1603842705
147	0.1601875186
148	0.1599790896
149	0.1599186327
150	0.1597253978
151	0.159637708
152	0.1595624965
153	0.1595176902
154	0.1594771775
155	0.159429924
156	0.1593224125
157	0.1592075842
158	0.1591294088
159	0.1590350638
160	0.1588524611
161	0.1587859315
162	0.1586236701
163	0.1585813149
164	0.158490664
165	0.1583586837
166	0.158244622
167	0.158212662
168	0.1581393598
169	0.158002349
170	0.1579659017
171	0.1579111098
172	0.1578256259
173	0.1577741031
174	0.1577272688
175	0.1576679513
176	0.1576097906
177	0.1575302621
178	0.1574650192
179	0.1573382088
180	0.1573297749
181	0.1573126729
182	0.1571821162
183	0.1571455995
184	0.157084876
185	0.1570243735
186	0.156973083
187	0.1569337349
188	0.1568799686
189	0.156874932
190	0.1568489876
191	0.1568371745
192	0.1568279141
193	0.1567772118
194	0.1567028719
195	0.1566437102
196	0.1565940928
197	0.1565550939
198	0.15651287
199	0.1564588383
