iter	Logloss
0	0.685380998
1	0.6777887435
2	0.6703311078
3	0.6630079248
4	0.655828476
5	0.6487888315
6	0.6418921483
7	0.635122135
8	0.628479699
9	0.6219642698
10	0.6155613718
11	0.6092824133
12	0.603113099
13	0.5970523326
14	0.59110437
15	0.5852827684
16	0.5795603475
17	0.5739289398
18	0.5684034801
19	0.5629716975
20	0.5576382137
21	0.5523794059
22	0.5472237627
23	0.542163442
24	0.5372040141
25	0.532313522
26	0.5274907798
27	0.5227657548
28	0.5181239465
29	0.5135602066
30	0.5090791429
31	0.5046700963
32	0.5003228828
33	0.4960543672
34	0.4918434777
35	0.4877151648
36	0.4836437407
37	0.4796521344
38	0.4757184433
39	0.4718419292
40	0.4680340098
41	0.4642834416
42	0.4605969203
43	0.4569667987
44	0.4533987591
45	0.4498854125
46	0.4464283498
47	0.4430167764
48	0.439658622
49	0.436352673
50	0.4331077811
51	0.4299090941
52	0.4267512094
53	0.42365314
54	0.4206049158
55	0.4175948312
56	0.4146377834
57	0.4117291195
58	0.4088519457
59	0.4060160666
60	0.4032250795
61	0.4004750929
62	0.397778509
63	0.395125537
64	0.3924914809
65	0.389901679
66	0.3873659423
67	0.384870326
68	0.3824151888
69	0.3799943381
70	0.3776099596
71	0.375249303
72	0.3729165084
73	0.3706391478
74	0.3683660273
75	0.3661212791
76	0.3639120459
77	0.3617660338
78	0.3596522857
79	0.3575677324
80	0.355484006
81	0.3534450742
82	0.3514559926
83	0.3494782784
84	0.3475123671
85	0.3456074939
86	0.3436949074
87	0.3418111811
88	0.3399787788
89	0.3381665369
90	0.3363977457
91	0.3346455953
92	0.3329284289
93	0.3312019641
94	0.3295346757
95	0.3278586731
96	0.3262400439
97	0.3246183386
98	0.3230464474
99	0.321462962
